,Score,Scaling Parameter,Problem Idx,Model,Benchmark,Log Score,Neg Log Score,Num. Samples Total,Num. Samples Correct
72973,0.6382041897018202,700,13,Pythia 6.9B,MATH,-0.4490970002867437,0.4490970002867437,10000,6382.041897018203
72974,0.07000000000000006,700,14,Pythia 6.9B,MATH,-2.659260036932777,2.659260036932777,10000,700.0000000000006
72975,0.9321286468657818,700,15,Pythia 6.9B,MATH,-0.07028444070444849,0.07028444070444849,10000,9321.286468657818
72976,0.13510651065106516,700,16,Pythia 6.9B,MATH,-2.001691843829517,2.001691843829517,10000,1351.0651065106515
72977,0.0,700,17,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72978,0.9999999950627312,700,18,Pythia 6.9B,MATH,-4.937268828195957e-09,4.937268828195957e-09,10000,9999.999950627313
72979,0.0,700,19,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72980,0.9817320632234026,700,20,Pythia 6.9B,MATH,-0.018436855898811787,0.018436855898811787,10000,9817.320632234025
72981,0.0,700,21,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72982,0.9492877507810377,700,22,Pythia 6.9B,MATH,-0.0520433116001163,0.0520433116001163,10000,9492.877507810377
72983,0.4797299954718859,700,23,Pythia 6.9B,MATH,-0.7345318427815571,0.7345318427815571,10000,4797.299954718859
72984,0.5500828843442894,700,24,Pythia 6.9B,MATH,-0.5976863133017462,0.5976863133017462,10000,5500.828843442894
72985,0.9999398449416135,700,25,Pythia 6.9B,MATH,-6.015686777461169e-05,6.015686777461169e-05,10000,9999.398449416134
72986,0.1956611658365277,700,26,Pythia 6.9B,MATH,-1.6313708614889146,1.6313708614889146,10000,1956.611658365277
72987,0.0,700,27,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72988,0.9950952001396434,700,28,Pythia 6.9B,MATH,-0.0049168678681382255,0.0049168678681382255,10000,9950.952001396434
72989,0.0,700,29,Pythia 6.9B,MATH,-inf,inf,10000,0.0
72990,0.8784721767330347,700,30,Pythia 6.9B,MATH,-0.12957104319058518,0.12957104319058518,10000,8784.721767330348
